2019-05-16 17:45:27: Cannot Connect to https://mediator.goodsync.com/Z_time_checker.php: [connecting mediator.goodsync.com:443]: Time out
2019-05-16 17:46:11: -- 分析开始 User Command
2019-05-16 17:57:17: 变更：1,336， 冲突：0， 复制时间：0， 复制状态：1， 错误： 0, All: 10992
2019-05-16 17:57:17: Left to Right: Copy File: 1336 
2019-05-16 17:57:17: -- 分析已结束。历时 00:12:11, 速度： 898 文件/秒
2019-05-16 17:57:17: 
2019-05-16 17:57:24: == 同步开始由 User Command
2019-05-16 17:57:27: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/cowboy-2.4.0/ebin/cowboy_tls.beam' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/cowboy-2.4.0/ebin/cowboy_tls.beam' (2,324)
2019-05-16 17:57:29: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/cowboy-2.4.0/ebin/cowboy_tracer_h.beam' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/cowboy-2.4.0/ebin/cowboy_tracer_h.beam' (7,000)
2019-05-16 17:57:31: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/cowboy-2.4.0/ebin/cowboy_websocket.beam' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/cowboy-2.4.0/ebin/cowboy_websocket.beam' (24,328)
2019-05-16 17:57:32: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/cowboy-2.4.0/ebin/dep_built' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/cowboy-2.4.0/ebin/dep_built' (0)
2019-05-16 17:57:34: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/cowlib-2.3.0/ebin/cow_base64url.beam' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/cowlib-2.3.0/ebin/cow_base64url.beam' (2,400)
2019-05-16 17:57:36: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/cowlib-2.3.0/ebin/cow_cookie.beam' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/cowlib-2.3.0/ebin/cow_cookie.beam' (6,276)
2019-05-16 17:57:37: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/cowlib-2.3.0/ebin/cow_date.beam' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/cowlib-2.3.0/ebin/cow_date.beam' (32,252)
